filename,width,height,class,xmin,ymin,xmax,ymax
298. focused_163444590-stock-photo-bearded-man-wearing-baseball-cap.jpg,495,650,hat,317,78,459,156
333. matt-damon-wearing-baseball-cap-pictures-la.jpg,1829,1829,hat,475,166,1185,547
648. 130310235722_tiger_woods_miami_304x171_ap_nocredit.jpg,720,405,hat	,390,1,668,153
150. canadau172016.jpg,640,320,hat,34,4,174,71
150. canadau172016.jpg,640,320,hat,255,9,380,78
150. canadau172016.jpg,640,320,hat,484,10,594,69
162. machado.jpg,770,433,hat	,196,3,464,146
49. tg-sidney-crosby_large.jpg,800,535,hat,239,12,626,224
770. tristan-tice-kidston.jpg,512,341,hat	,177,4,374,128
418. 11246646-6830831-image-m-22_1553116868719.jpg,634,718,hat,195,3,385,67
526. usa_today_12167053.jpg,1200,628,hat	,265,2,661,233
516. 64222_binh_tran_thumbnail.jpg,400,533,hat	,17,119,256,248
561. usatsi_11871564_168384245_lowres_1.jpg,2396,1597,hat	,732,68,1420,438
561. usatsi_11871564_168384245_lowres_1.jpg,2396,1597,hat	,1279,187,1858,560
76. jackie_robinson_.jpg,1660,934,hat	,555,26,1265,363
219. 2h6a4757-600x400.jpg,600,400,hat,77,2,215,78
487. two-old-men-wearing-baseball-caps-taken-from-behind-b23jc1.jpg,1300,1064,hat,151,265,610,467
487. two-old-men-wearing-baseball-caps-taken-from-behind-b23jc1.jpg,1300,1064,hat,696,134,1068,330
285. 4090c53fd2879f45c60e1efdd3a36710.jpg,378,454,hat	,16,115,361,358
340. peo014-00299-400x266.jpg,400,266,hat,44,21,133,79
340. peo014-00299-400x266.jpg,400,266,hat,272,44,363,95
407. 968f4aa430bb82cb8e729b8cc7197dfe--the-hunger-game-hunger-games.jpg,500,700,hat	,54,30,438,228
162. dfda-zbxcaa379x.jpg,1200,675,hat	,469,15,753,177
446. ct-spt-bears-trey-burton-walter-payton-award-20181206.jpg,1999,1125,hat	,1166,5,1656,341
36. focused_180513870-stock-photo-happy-young-woman-wearing-baseball.jpg,650,433,hat,185,68,432,205
427. our-people-2400x1600.jpg,2400,1600,hat	,1002,411,1356,711
427. our-people-2400x1600.jpg,2400,1600,hat	,114,503,547,807
280. 15309723_web1_190131-omh-floorhockey4_4.jpg,1200,800,hat,71,7,333,148
92. lids.jpg,1000,1223,hat	,12,1,582,617
92. lids.jpg,1000,1223,hat	,518,186,1000,986
92. lids.jpg,1000,1223,hat	,1,501,546,1223
55. studio-portrait-of-basketball-player-wearing-cap-and-sunglasses-picture-id492361691.jpg,683,1024,hat,227,24,394,126
233. leonardo-dicaprio-fau-cap.jpg,613,612,hat,184,65,365,185
126. canva-teenage-boy-%2815-17%29-wearing-baseball-cap%2c-portrait-mac70mb1gh8.jpg,589,800,hat,202,202,452,344
198. connolly_smith-pelly3500.jpg,610,280,hat,68,10,204,93
198. connolly_smith-pelly3500.jpg,610,280,hat,379,4,526,94
398. obmwfqnqarmpiai.20150915142107.jpg,320,400,hat	,67,7,239,99
273. cut.jpg,770,308,hat	,409,2,533,94
219. 151444.jpg,900,900,hat	,364,89,718,478
330. bba_spring_training_blue_jays_201602222.jpg,392,294,hat	,142,22,207,54
679. gxl_5c8a2b4d-fea4-4b64-b792-0c28ac110005.jpg,1808,1200,hat	,339,199,775,424
315. fasdlive%202%20057.jpg,2000,1333,hat,788,72,1494,713
63. snapback-hoodie-960x620.jpg,960,620,hat,204,6,320,77
63. snapback-hoodie-960x620.jpg,960,620,hat,627,23,814,96
224. how-to-wear-a-snapback-with-a-small-head.jpg,533,800,hat	,147,8,294,88
367. ways_to_wear_baseball_cap_5.jpg,500,667,hat,217,14,289,63
514. b55d8c1da54661cae3b802f94cb1978a.jpg,400,400,hat	,108,12,288,111
470. 620x620-players-power.jpg,620,620,hat	,133,34,390,244
404. real-people-caucasian-little-boy-wearing-baseball-cap-head-shoulders-picture-id164195948.jpg,683,1024,hat,246,26,568,265
580. bobby-bonilla.jpg,420,280,hat	,204,17,402,141
603. 104683526-gettyimages-837174192.600x400.jpg,600,400,hat	,196,1,445,131
368. brim-005.jpg,1000,1117,hat,271,153,896,508
97. mature-man-wearing-baseball-cap-x0cfy4.jpg,1040,1390,hat,151,22,749,303
440. 2017_08_chris_martin.jpg,770,578,hat	,255,7,374,96
679. 4e4ed0ef17729a39fa6a4ed4032c3541.jpg,385,593,hat	,51,81,186,155
679. 4e4ed0ef17729a39fa6a4ed4032c3541.jpg,385,593,hat	,224,24,344,101
116. 4a20c90ed0bcd1f09e9a8804e900cc4b.jpg,730,1500,hat,187,27,577,279
248. 7953969_stock-photo-attractive-african-man-in-cap-and-sunglasses-holding-basketball-ball.jpg,400,600,hat,173,13,296,100
658. cut.jpg,770,308,hat	,75,12,216,95
658. cut.jpg,770,308,hat	,320,1,461,80
729. cap-1845041__340.jpg,510,340,hat	,254,1,346,81
195. gallery-1466162937-hilbaseballcap.jpg,480,684,hat	,154,32,354,147
220. image?url=https%3a%2f%2fpeopledotcom.files.wordpress.com%2f2018%2f08%2ftiger-woods.jpg%3fw%3d450&w=450&c=sc&poi=face&q=85.jpg,450,600,hat	,26,23,381,193
352. 5102989_trumphat.jpg,1280,720,hat,434,14,807,238
319. g0qlsyjkfkonpxrdgdys.jpg,800,450,hat	,252,11,505,171
67. hague-cap_1706274c.jpg,460,288,hat	,144,16,300,94
598. ap-grizzlies-clippers-basketball.jpg,1000,600,hat	,604,3,867,114
120. a-urban-man-wearing-baseball-cap-over-picture_csp25485674.jpg,300,470,hat	,91,26,217,91
501. 083302dd336ab1eec6ec7608938b6f394cd23cdc.jpg,800,450,hat	,315,31,542,154
85. cpt115366924_hd.jpg,1365,910,hat,511,25,1024,345
9. printed-hats-001.jpg,450,225,hat	,204,4,349,104
400. 42700073_10156870741576654_2630557152565002240_n.jpg,640,640,hat	,78,2,411,177
476. c91749ea-be8b-4af4-8402-f2e3478c513d.jpg,600,315,hat,109,1,399,155
128. baseball-player-with-gray-cap-379x200.jpg,379,200,hat,77,6,266,92
328. e2f7d912-d228-4b42-b728-d82f2d6b5a9e-640-360.jpg,640,360,hat	,142,5,375,98
536. cut.jpg,770,308,hat	,515,6,584,50
536. cut.jpg,770,308,hat	,605,41,700,82
536. cut.jpg,770,308,hat	,393,203,476,264
536. cut.jpg,770,308,hat	,114,148,229,250
536. cut.jpg,770,308,hat	,378,57,431,97
536. cut.jpg,770,308,hat	,99,2,183,63
536. cut.jpg,770,308,hat	,1,86,46,150
636. vape-shop-refuses-maga-hat-customer-wp.jpg,664,441,hat	,107,63,287,167
636. vape-shop-refuses-maga-hat-customer-wp.jpg,664,441,hat	,370,49,574,186
46. wen-wenn24808542.jpg,699,1049,hat,229,39,363,119
79. a-urban-man-wearing-baseball-cap-over-picture_csp25485614.jpg,450,320,hat,66,7,284,120
194. snapback-1-733x1100.jpg,733,1100,hat,254,25,410,109
339. mens-nav-banner-1.jpg,344,336,hat,122,6,224,74
345. ap_18192834912118.jpg,652,367,hat	,303,7,388,75
74. best-baseball-movies.jpg,633,356,hat	,71,13,208,84
74. best-baseball-movies.jpg,633,356,hat	,331,15,525,77
191. gettyimages-1131435890-e1553115536778.jpg,480,270,hat	,146,2,323,87
662. 78a208728bb17453cbde5badbf3864c4--ice-cubes-inspiring-people.jpg,236,314,hat	,34,1,230,117
523. david-gandy-hat-model-man-white-people-male-9v8i.jpg,480,270,hat	,121,1,266,96
477. happy-homeless-man.jpg,960,540,hat	,529,2,695,97
290. 400_f_90280438_u6g8cjlgbuyvcdmxral1i5ppiptplh35.jpg,267,400,hat,106,9,197,64
241. 500_f_18371636_l6ukzuyabapjcpvh1ljdumflrox6ilqk.jpg,334,500,hat,138,19,265,93
409. 2-250x250.jpg,250,250,hat	,1,4,135,81
495. 5208385_032019-ktrk-storyful-maga-hat-vigil-img.jpg,1280,720,hat,256,38,427,131
495. 5208385_032019-ktrk-storyful-maga-hat-vigil-img.jpg,1280,720,hat,781,9,1107,165
196. b860-signature-stretch-fit-baseball-cap-gallery-0-a31628106fedf4ba6543732a7a1f0fb9.jpg,1100,1400,hat	,95,66,1068,644
191. blm-hat-00.jpg,1280,720,hat	,110,5,524,297
191. blm-hat-00.jpg,1280,720,hat	,665,36,1270,579
101. larryh.jpg,1000,652,hat,141,1,677,289
709. people-puppet-02.jpg,2136,3216,hat	,722,160,1676,897
591. uxjjsr4hw9lqermeayyj.jpg,470,264,hat	,209,1,357,91
229. lebron-mlb.jpg,1199,840,hat,782,206,920,312
229. lebron-mlb.jpg,1199,840,hat,640,47,780,139
229. lebron-mlb.jpg,1199,840,hat,210,203,347,284
229. lebron-mlb.jpg,1199,840,hat,491,284,607,361
377. 800.jpg,800,450,hat,230,91,369,193
