filename,width,height,class,xmin,ymin,xmax,ymax
333. matt-damon-wearing-baseball-cap-pictures-la.jpg,1829,1829,hat,475,166,1185,547
150. canadau172016.jpg,640,320,hat,34,4,174,71
150. canadau172016.jpg,640,320,hat,255,9,380,78
150. canadau172016.jpg,640,320,hat,484,10,594,69
162. machado.jpg,770,433,hat	,196,3,464,146
49. tg-sidney-crosby_large.jpg,800,535,hat,239,12,626,224
770. tristan-tice-kidston.jpg,512,341,hat	,177,4,374,128
418. 11246646-6830831-image-m-22_1553116868719.jpg,634,718,hat,195,3,385,67
526. usa_today_12167053.jpg,1200,628,hat	,265,2,661,233
516. 64222_binh_tran_thumbnail.jpg,400,533,hat	,17,119,256,248
561. usatsi_11871564_168384245_lowres_1.jpg,2396,1597,hat	,732,68,1420,438
561. usatsi_11871564_168384245_lowres_1.jpg,2396,1597,hat	,1279,187,1858,560
444. young_woman_in_pb_cap_1200x1200.png,1200,900,hat,361,3,872,337
76. jackie_robinson_.jpg,1660,934,hat	,555,26,1265,363
219. 2h6a4757-600x400.jpg,600,400,hat,77,2,215,78
285. 4090c53fd2879f45c60e1efdd3a36710.jpg,378,454,hat	,16,115,361,358
340. peo014-00299-400x266.jpg,400,266,hat,44,21,133,79
340. peo014-00299-400x266.jpg,400,266,hat,272,44,363,95
407. 968f4aa430bb82cb8e729b8cc7197dfe--the-hunger-game-hunger-games.jpg,500,700,hat	,54,30,438,228
446. ct-spt-bears-trey-burton-walter-payton-award-20181206.jpg,1999,1125,hat	,1166,5,1656,341
36. focused_180513870-stock-photo-happy-young-woman-wearing-baseball.jpg,650,433,hat,185,68,432,205
427. our-people-2400x1600.jpg,2400,1600,hat	,1002,411,1356,711
427. our-people-2400x1600.jpg,2400,1600,hat	,114,503,547,807
280. 15309723_web1_190131-omh-floorhockey4_4.jpg,1200,800,hat,71,7,333,148
233. leonardo-dicaprio-fau-cap.jpg,613,612,hat,184,65,365,185
126. canva-teenage-boy-%2815-17%29-wearing-baseball-cap%2c-portrait-mac70mb1gh8.jpg,589,800,hat,202,202,452,344
198. connolly_smith-pelly3500.jpg,610,280,hat,68,10,204,93
198. connolly_smith-pelly3500.jpg,610,280,hat,379,4,526,94
398. obmwfqnqarmpiai.20150915142107.jpg,320,400,hat	,67,7,239,99
273. cut.jpg,770,308,hat	,409,2,533,94
263. 4f3bf756-7b5d-49d0-bc9a-905de394cd33.jpeg,2048,916,hat,1042,10,1766,310
219. 151444.jpg,900,900,hat	,364,89,718,478
330. bba_spring_training_blue_jays_201602222.jpg,392,294,hat	,142,22,207,54
315. fasdlive%202%20057.jpg,2000,1333,hat,788,72,1494,713
63. snapback-hoodie-960x620.jpg,960,620,hat,204,6,320,77
63. snapback-hoodie-960x620.jpg,960,620,hat,627,23,814,96
224. how-to-wear-a-snapback-with-a-small-head.jpg,533,800,hat	,147,8,294,88
367. ways_to_wear_baseball_cap_5.jpg,500,667,hat,217,14,289,63
514. b55d8c1da54661cae3b802f94cb1978a.jpg,400,400,hat	,108,12,288,111
470. 620x620-players-power.jpg,620,620,hat	,133,34,390,244
