filename,width,height,class,xmin,ymin,xmax,ymax
452. why-john-gibbons-is-the-right-man-to-lead-the-blue-jays-body-image-1490201644.jpg,320,237,hat	,180,9,293,75
284. blue_jays_orioles_baseball-e1508526879646.jpg,640,365,hat	,68,6,166,58
284. blue_jays_orioles_baseball-e1508526879646.jpg,640,365,hat	,285,10,380,57
545. _0b56b3dc-bafb-11e7-83cc-689513d74e1b.jpg,960,540,hat	,290,19,596,205
516. 64222_binh_tran_thumbnail.jpg,400,533,hat	,17,119,256,248
144. 3399945-young-latino-boy-wearing-baseball-cap.jpg,866,1300,hat,118,29,866,594
223. cap1.jpg,720,960,hat,300,140,408,229
643. 20180321-cibc-robbery-suspects-1.jpg,555,435,hat	,74,112,134,161
643. 20180321-cibc-robbery-suspects-1.jpg,555,435,hat	,228,61,358,155
182. carefree-long-hair-brunette-wearing-nerd-glasses-and-baseball-cap-picture-id506903400.jpg,682,1024,hat,164,233,491,404
169. img_0444_1_grande.jpg,600,600,hat	,88,57,531,575
371. beautiful-young-brunette-woman-charming-smile-looking-camera-girl-wearing-black-baseball-cap-brown-leather-ja-121385072.jpg,1300,957,hat,618,72,956,327
770. tristan-tice-kidston.jpg,512,341,hat	,177,4,374,128
471. 5c80491f58026.image.jpg,486,673,hat	,129,8,390,182
549. young-couple-in-love-picture-id606015596?k=6&m=606015596&s=612x612&w=0&h=gicz9yeaa4coxph2offo2ql8tgg_giix_cwyo8u-aja=.jpg,612,408,hat	,115,29,290,128
189. ldwueyidighvobk.20150915142107.jpg,640,800,hat	,152,19,491,219
20. article-2457440-18b5bfc600000578-853_634x775.jpg,634,775,hat,200,41,423,155
375. base-ball-hats-5.jpg,600,601,hat,142,7,203,55
375. base-ball-hats-5.jpg,600,601,hat,441,22,514,85
443. ron-artest-iso-smile-1213.jpg,1045,588,hat	,339,2,707,220
145. baseball-cap.jpg,420,249,hat,256,5,396,93
619. 96544rm011_chicago_white_16975701.jpg,1000,600,hat	,386,1,787,242
109. cb6a10uw4aapqbv.jpg,1200,646,hat,418,14,831,241
259. mature-man-wearing-baseball-cap-looking-stock-photo__x14383824.jpg,450,357,hat,99,7,232,73
44. grobie02.jpg,389,390,hat,68,27,376,168
503. sd-me-border-college-20180419.jpg,1000,562,hat	,171,19,581,223
61. img_5530_1024x1024@2x.jpg,1975,1353,hat	,413,8,1508,1317
637. boyz-in-the-hood-september-2016-01.jpg,768,522,hat	,49,111,141,177
637. boyz-in-the-hood-september-2016-01.jpg,768,522,hat	,387,113,505,179
324. 597a24464528e620008b4d4e-750-563.jpg,750,563,hat	,117,5,572,257
448. how-to-wear-baseball-caps-252050-1520909326351-image.800x0uc.jpg,683,1024,hat,324,30,458,144
39. a-senior-man-sitting-on-a-bench-wearing-a-basketball-cap-charlotte-hornets-kaunas-lithuania-mc6ywp.jpg,1300,1103,hat,853,149,996,226
237. 32610872443_0c0c9b11c5_h.jpg,1068,1600,hat,331,103,902,392
658. cut.jpg,770,308,hat	,75,12,216,95
658. cut.jpg,770,308,hat	,320,1,461,80
211. tress-cap.jpg,6250,3515,hat	,40,850,3085,3415
211. tress-cap.jpg,6250,3515,hat	,4025,85,5500,670
343. nhl_draft_hockey_22566721.jpg,392,253,hat,134,4,237,68
347. image?url=https%3a%2f%2fpeopledotcom.files.wordpress.com%2f2016%2f08%2fjose-canseco-300.jpg%3fw%3d300&w=450&c=sc&poi=face&q=85.jpg,300,400,hat	,26,2,178,84
42. baseballcap2.jpg,570,563,hat,104,11,476,280
37. baseballcap2.jpg,510,408,hat,74,2,395,182
789. sarri.chelsea.2018.19.cappello.538x358.jpg,538,358,hat	,199,21,376,123
486. 2018_10_29-bt-stolen-credit-card-suspect.jpg,411,464,hat	,163,22,335,162
251. 1298004237537_original.jpg%3fsize=650x&w=302&h=432.jpg,302,432,hat	,63,33,240,130
386. 500.jpg,500,300,hat	,141,1,362,111
405. 180829091629-carmen-yulin-cruz-8-29-01-large-169.jpg,460,259,hat	,187,1,281,49
357. portrait-smiling-man-wearing-baseball-cap-looking-away-on-sunny-road-x11jyr.jpg,1300,956,hat,246,137,708,430
46. wen-wenn24808542.jpg,699,1049,hat,229,39,363,119
285. 4090c53fd2879f45c60e1efdd3a36710.jpg,378,454,hat	,16,115,361,358
434. e14df275-857d-4500-b7d5-c291c19c3b16.jpg,960,719,hat	,302,12,707,228
16. studio-portrait-of-basketball-player-wearing-cap-and-sunglasses-picture-id492361753.jpg,683,1024,hat,190,76,367,176
104. rihanna-style-baseball-cap-17.jpg,500,743,hat,138,93,343,211
77. snapback-with-smart-casual-style copy.jpg,160,271,hat	,47,1,105,33
47. tourist-assaulted-in-nyc-for-wearing-maga-hat.jpg,1200,897,hat	,539,97,912,354
275. byron-buxton-e834978857a5a1a4.jpg,1200,800,hat,317,18,971,608
743. 1525567114226.jpg,417,235,hat	,67,5,254,92
158. 800px_colourbox2621403.jpg,518,800,hat,143,50,356,184
330. bba_spring_training_blue_jays_201602222.jpg,392,294,hat	,142,22,207,54
568. maxresdefault.jpg,1024,576,hat,322,76,572,268
137. 20150801-130307_orig.jpg,618,1100,hat	,26,189,583,983
433. 7130196-casual-young-businessman-wearing-baseball-cap-leaving-office-smiling-.jpg,866,1300,hat,168,59,479,323
50. x-ws-09-08012019-hockey-gillam-dk_large.jpg,800,535,hat,102,3,358,133
515. 1298005690558_original_super_portrait.jpg,302,417,hat	,24,24,292,157
483. image.jpg,276,400,hat	,8,13,202,113
572. bill-murray-chicago-1080x675.jpg,1080,675,hat	,452,2,775,152
64. arizona%2bdiamondbacks%2bnew%2bera%2bcap%2b59fifty%2blow%2bcrown.jpg,1224,918,hat	,322,37,1002,811
183. closeup-portrait-caucasian-blonde-young-260nw-1075212848.jpg,0,0,hat	,153,3,255,95
614. gallery-1466162937-hilbaseballcap.jpg,480,684,hat,152,31,349,170
85. cpt115366924_hd.jpg,1365,910,hat,511,25,1024,345
186. onelcmogsvjivnd.20190318194358.jpg,540,1024,hat	,144,8,526,227
488. 180813-qanon-trump-rally-ohio-njs-1101_ceb3d866b1c735942a9e4ffd560ece40.jpg,2500,1694,hat	,1041,191,1691,513
488. 180813-qanon-trump-rally-ohio-njs-1101_ceb3d866b1c735942a9e4ffd560ece40.jpg,2500,1694,hat	,695,347,1080,678
532. good_people__doing_good_0_50949216_ver1.0_1280_720.jpg,1280,720,hat	,491,26,793,219
181. dw1p9xbvmaazhcm.jpg,1200,675,hat,404,21,699,259
377. 696-03393954em-teenage-girl-wearing-large-button-down-shirt-and-baseball.jpg,300,450,hat,33,25,174,113
195. 18954521-real-people-hispanic-little-boy-wearing-baseball-cap-silly-sung.jpg,682,1024,hat,186,60,521,226
754. 2333.jpg,700,875,hat	,250,26,603,223
423. gokateshoot190587.jpg,1000,666,hat	,131,49,415,216
523. 10923322-1x1-700x700.jpg,700,700,hat,213,18,525,189
340. peo014-00299-400x266.jpg,400,266,hat,44,21,133,79
340. peo014-00299-400x266.jpg,400,266,hat,272,44,363,95
58. 500_f_114905768_kpttd5zabvmm4n9m0gaxzttfjku4qzd1.jpg,277,130,hat	,100,1,201,55
6. hat-bills-848x426.jpg,848,426,hat	,382,1,660,101
338. cito_large.jpg,600,513,hat	,210,1,400,104
363. gettyimages-611674082(1).jpg,768,432,hat	,410,30,677,171
609. 286730.5.jpg,365,205,hat	,123,6,243,75
44. _102401645_tv031779980.jpg,624,351,hat	,202,11,399,121
380. trump-wering-maga-hat.jpg,700,502,hat,219,8,466,166
190. img-5995-e1464963384546.jpg,746,568,hat,303,159,418,224
190. img-5995-e1464963384546.jpg,746,568,hat,484,20,588,100
195. copilot-style-201503-1427733096851_curvedbrim_0003_454526514.jpg,400,505,hat	,167,7,263,80
239. depositphotos_174898346-stock-photo-successful-businessman-wearing-a-baseball.jpg,1068,1700,hat,375,123,663,253
55. college-student-wearing-baseball-cap-backwards-picture-id691680706?s=170667a&w=1007.jpg,339,509,hat,107,24,311,142
540. jurgen-klopp-liverpool-everton.jpg,700,367,hat	,151,2,417,160
46. dad-hat.jpg,800,450,hat	,345,8,482,97
475. s-l300.jpg,300,224,hat	,85,12,243,180
110. il_570xn.1200302432_7qn5_300x300.jpg,300,225,hat	,145,27,237,162
533. gettyimages-857642210.jpg,3000,2132,hat	,1547,158,2341,547
409. 2-250x250.jpg,250,250,hat	,1,4,135,81
344. 104630437-makeit_08032017_rodriguez_arod_business_school_miv_mezz.940x528.jpg,940,528,hat	,327,4,620,126
219. 151444.jpg,900,900,hat	,364,89,718,478
116. 4a20c90ed0bcd1f09e9a8804e900cc4b.jpg,730,1500,hat,187,27,577,279
139. sasakamoose-tourney-01.jpg,1024,682,hat,333,8,802,244
77. snapback-with-smart-casual-style copy 2.jpg,155,273,hat	,47,1,115,34
416. rk9811_166_20.jpg,460,460,hat,76,1,352,117
